command	namespace	access	ui_status	capability	limitation	cli_source	ui_source
openstack floating ip show	openstack.network.v2	read	yes	Показать — Посмотреть floating IP и связанную сеть/порт в деталях Admin.	Не заявляется равенство всех дополнительных колонок API.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip.py#L522	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/floating_ips/templates/floating_ips/detail.html#L1
openstack floating ip unset	openstack.network.v2	mutation	partial	Снять параметры — Disassociate IP снимает связь с портом.	Снятие QoS policy/тегов этим UI не представлено.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip.py#L549	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ips/tables.py#L219
openstack floating ip pool list	openstack.network.v2	read	partial	Перечислить — Список pools показан при Allocate IP.	Это список выбора в форме, а не самостоятельная таблица всех external network pool attributes.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip_pool.py#L22	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ips/forms.py#L30
openstack floating ip port forwarding create	openstack.network.v2	mutation	yes	Создать — Configure/List All Floating IP Port Forwarding Rules: создать, удалить, перечислить, изменить правило.	Доступ через Floating IPs, скрытая навигационная панель; нужны соответствующие Neutron extensions. UI поддерживает TCP/UDP, диапазоны портов, internal IP и description.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip_port_forwarding.py#L95	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ip_portforwardings/tables.py#L131; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ip_portforwardings/workflows.py#L60
openstack floating ip port forwarding delete	openstack.network.v2	mutation	yes	Удалить — Configure/List All Floating IP Port Forwarding Rules: создать, удалить, перечислить, изменить правило.	Доступ через Floating IPs, скрытая навигационная панель; нужны соответствующие Neutron extensions. UI поддерживает TCP/UDP, диапазоны портов, internal IP и description.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip_port_forwarding.py#L198	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ip_portforwardings/tables.py#L131; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ip_portforwardings/workflows.py#L60
openstack floating ip port forwarding list	openstack.network.v2	read	yes	Перечислить — Configure/List All Floating IP Port Forwarding Rules: создать, удалить, перечислить, изменить правило.	Доступ через Floating IPs, скрытая навигационная панель; нужны соответствующие Neutron extensions. UI поддерживает TCP/UDP, диапазоны портов, internal IP и description.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip_port_forwarding.py#L251	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ip_portforwardings/tables.py#L131; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ip_portforwardings/workflows.py#L60
openstack floating ip port forwarding set	openstack.network.v2	mutation	yes	Изменить — Configure/List All Floating IP Port Forwarding Rules: создать, удалить, перечислить, изменить правило.	Доступ через Floating IPs, скрытая навигационная панель; нужны соответствующие Neutron extensions. UI поддерживает TCP/UDP, диапазоны портов, internal IP и description.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip_port_forwarding.py#L351	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ip_portforwardings/tables.py#L131; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ip_portforwardings/workflows.py#L60
openstack floating ip port forwarding show	openstack.network.v2	read	partial	Показать — Правило видно в таблице и предзаполненной Edit-форме.	Отдельного DetailView по UUID нет; таблица показывает основные параметры перенаправления.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip_port_forwarding.py#L451	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ip_portforwardings/tables.py#L131; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ip_portforwardings/views.py#L35
openstack ip availability list	openstack.network.v2	read	partial	Перечислить — Used IPs / Free IPs подсетей в Admin → Networks → конкретная сеть.	Нет общей таблицы availability по всем сетям; вывод Free IPs ограничен представлением, нужен network-ip-availability.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/ip_availability.py#L38	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/networks/subnets/tables.py#L63
openstack ip availability show	openstack.network.v2	read	partial	Показать — Used IPs / Free IPs подсетей в Admin → Networks → конкретная сеть.	Нет общей таблицы availability по всем сетям; вывод Free IPs ограничен представлением, нужен network-ip-availability.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/ip_availability.py#L104	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/networks/subnets/tables.py#L63
openstack local ip create	openstack.network.v2	mutation	no	Создать — Создать: Local IP Neutron.	Нет панели Local IP; Floating IP — другой ресурс.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/local_ip.py#L71	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack local ip delete	openstack.network.v2	mutation	no	Удалить — Удалить: Local IP Neutron.	Нет панели Local IP; Floating IP — другой ресурс.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/local_ip.py#L118	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack local ip list	openstack.network.v2	read	no	Перечислить — Перечислить: Local IP Neutron.	Нет панели Local IP; Floating IP — другой ресурс.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/local_ip.py#L190	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack local ip set	openstack.network.v2	mutation	no	Изменить — Изменить: Local IP Neutron.	Нет панели Local IP; Floating IP — другой ресурс.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/local_ip.py#L158	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack local ip show	openstack.network.v2	read	no	Показать — Показать: Local IP Neutron.	Нет панели Local IP; Floating IP — другой ресурс.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/local_ip.py#L297	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack local ip association create	openstack.network.v2	mutation	no	Создать — Создать: ассоциация Local IP с портом.	Нет действий управления Local IP associations.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/local_ip_association.py#L38	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack local ip association delete	openstack.network.v2	mutation	no	Удалить — Удалить: ассоциация Local IP с портом.	Нет действий управления Local IP associations.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/local_ip_association.py#L84	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack local ip association list	openstack.network.v2	read	no	Перечислить — Перечислить: ассоциация Local IP с портом.	Нет действий управления Local IP associations.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/local_ip_association.py#L139	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network agent add network	openstack.network.v2	mutation	yes	Add DHCP Agent у сети связывает сеть с DHCP agent.	Нужен dhcp_agent_scheduler; это назначение DHCP, не произвольного типа agent.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_agent.py#L59	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/networks/agents/tables.py#L31; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/networks/agents/forms.py#L25
openstack network agent add router	openstack.network.v2	mutation	no	Нет соответствующего действия над network agent.	View Routers показывает размещенные routers, но не добавляет/удаляет L3 bindings; в NetworkAgentsTable нет enable/disable/delete. Delete DHCP Agent отвязывает сеть.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_agent.py#L96	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L185; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/networks/agents/tables.py#L31
openstack network agent delete	openstack.network.v2	mutation	no	Удалить — Нет соответствующего действия над network agent.	View Routers показывает размещенные routers, но не добавляет/удаляет L3 bindings; в NetworkAgentsTable нет enable/disable/delete. Delete DHCP Agent отвязывает сеть.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_agent.py#L125	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L185; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/networks/agents/tables.py#L31
openstack network agent list	openstack.network.v2	read	yes	Перечислить — Admin → System Information → Network Agents.	Показаны тип, binary, host, AZ, enabled/alive, heartbeat; нужен extension agent.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_agent.py#L165	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L202
openstack network agent remove network	openstack.network.v2	mutation	yes	Delete DHCP Agent у сети удаляет назначение сети этому DHCP agent.	Несмотря на текст Delete DHCP Agent, сам agent не удаляется: вызывается remove_network_from_dhcp_agent.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_agent.py#L290	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/networks/agents/tables.py#L31
openstack network agent remove router	openstack.network.v2	mutation	no	Нет соответствующего действия над network agent.	View Routers показывает размещенные routers, но не добавляет/удаляет L3 bindings; в NetworkAgentsTable нет enable/disable/delete. Delete DHCP Agent отвязывает сеть.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_agent.py#L326	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L185; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/networks/agents/tables.py#L31
openstack network agent set	openstack.network.v2	mutation	no	Изменить — Нет соответствующего действия над network agent.	View Routers показывает размещенные routers, но не добавляет/удаляет L3 bindings; в NetworkAgentsTable нет enable/disable/delete. Delete DHCP Agent отвязывает сеть.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_agent.py#L359	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L185; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/networks/agents/tables.py#L31
openstack network agent show	openstack.network.v2	read	partial	Показать — Основные свойства agent видны в строке Network Agents.	Отдельной страницы agent с configurations/полным ответом API нет.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_agent.py#L398	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/info/tables.py#L202
openstack network auto allocated topology create	openstack.network.v2	mutation	no	Создать — Создать: автоматически выделяемая топология проекта.	Network Topology визуализирует имеющуюся сеть; действий auto-allocated-topology create/delete нет.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_auto_allocated_topology.py#L64	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network auto allocated topology delete	openstack.network.v2	mutation	no	Удалить — Удалить: автоматически выделяемая топология проекта.	Network Topology визуализирует имеющуюся сеть; действий auto-allocated-topology create/delete нет.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_auto_allocated_topology.py#L125	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor add profile	openstack.network.v2	mutation	no	add profile: сетевой flavor и его service profiles.	Compute Flavors относятся к Nova и не заменяют Neutron network flavors.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor.py#L62	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor create	openstack.network.v2	mutation	no	Создать — Создать: сетевой flavor и его service profiles.	Compute Flavors относятся к Nova и не заменяют Neutron network flavors.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor.py#L92	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor delete	openstack.network.v2	mutation	no	Удалить — Удалить: сетевой flavor и его service profiles.	Compute Flavors относятся к Nova и не заменяют Neutron network flavors.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor.py#L145	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor list	openstack.network.v2	read	no	Перечислить — Перечислить: сетевой flavor и его service profiles.	Compute Flavors относятся к Nova и не заменяют Neutron network flavors.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor.py#L185	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor remove profile	openstack.network.v2	mutation	no	remove profile: сетевой flavor и его service profiles.	Compute Flavors относятся к Nova и не заменяют Neutron network flavors.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor.py#L213	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor set	openstack.network.v2	mutation	no	Изменить — Изменить: сетевой flavor и его service profiles.	Compute Flavors относятся к Nova и не заменяют Neutron network flavors.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor.py#L243	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor show	openstack.network.v2	read	no	Показать — Показать: сетевой flavor и его service profiles.	Compute Flavors относятся к Nova и не заменяют Neutron network flavors.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor.py#L287	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor profile create	openstack.network.v2	mutation	no	Создать — Создать: профиль сервисного драйвера network flavor.	Нет панели Neutron flavor profiles.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor_profile.py#L55	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor profile delete	openstack.network.v2	mutation	no	Удалить — Удалить: профиль сервисного драйвера network flavor.	Нет панели Neutron flavor profiles.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor_profile.py#L113	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor profile list	openstack.network.v2	read	no	Перечислить — Перечислить: профиль сервисного драйвера network flavor.	Нет панели Neutron flavor profiles.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor_profile.py#L154	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor profile set	openstack.network.v2	mutation	no	Изменить — Изменить: профиль сервисного драйвера network flavor.	Нет панели Neutron flavor profiles.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor_profile.py#L190	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network flavor profile show	openstack.network.v2	read	no	Показать — Показать: профиль сервисного драйвера network flavor.	Нет панели Neutron flavor profiles.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network_flavor_profile.py#L246	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack network create	openstack.network.v2	mutation	yes	Создать — Create Network: обычная сеть проекта или provider/external/shared сеть через Admin.	Admin поддерживает тип, physnet и segmentation ID; UI не предоставляет все продвинутые CLI-поля, например QoS/DNS/tags.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network.py#L203	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/networks/forms.py#L92; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/workflows.py#L37
openstack network delete	openstack.network.v2	mutation	yes	Удалить — Список Networks, Network Details и Delete Networks.	Есть Project/Admin views; provider fields отображаются как атрибуты сети, а не отдельный segment CRUD.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network.py#L430	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/tables.py#L190; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/templates/networks/_detail_overview.html#L1
openstack network list	openstack.network.v2	read	yes	Перечислить — Список Networks, Network Details и Delete Networks.	Есть Project/Admin views; provider fields отображаются как атрибуты сети, а не отдельный segment CRUD.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network.py#L458	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/tables.py#L190; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/templates/networks/_detail_overview.html#L1
openstack network set	openstack.network.v2	mutation	partial	Изменить — Edit Network меняет name/admin_state/shared; Admin также external.	Нет общей формы для остальных CLI-настроек: QoS, MTU при update, DNS, provider attributes, tags и др.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/network.py#L727	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/networks/forms.py#L35; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/networks/forms.py#L337
