project	tag	cli	entry_point_group	command	target	source	source_url
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow env update	mistralclient.commands.v2.environments:Update	setup.cfg:54	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L54
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow env list	mistralclient.commands.v2.environments:List	setup.cfg:55	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L55
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow env show	mistralclient.commands.v2.environments:Get	setup.cfg:56	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L56
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action execution run	mistralclient.commands.v2.action_executions:Create	setup.cfg:58	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L58
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action execution list	mistralclient.commands.v2.action_executions:List	setup.cfg:59	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L59
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action execution show	mistralclient.commands.v2.action_executions:Get	setup.cfg:60	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L60
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action execution input show	mistralclient.commands.v2.action_executions:GetInput	setup.cfg:61	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L61
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action execution output show	mistralclient.commands.v2.action_executions:GetOutput	setup.cfg:62	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L62
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action execution update	mistralclient.commands.v2.action_executions:Update	setup.cfg:63	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L63
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action execution delete	mistralclient.commands.v2.action_executions:Delete	setup.cfg:64	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L64
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow execution create	mistralclient.commands.v2.executions:Create	setup.cfg:66	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L66
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow execution delete	mistralclient.commands.v2.executions:Delete	setup.cfg:67	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L67
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow execution update	mistralclient.commands.v2.executions:Update	setup.cfg:68	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L68
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow execution list	mistralclient.commands.v2.executions:List	setup.cfg:69	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L69
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow execution show	mistralclient.commands.v2.executions:Get	setup.cfg:70	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L70
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow execution input show	mistralclient.commands.v2.executions:GetInput	setup.cfg:71	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L71
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow execution output show	mistralclient.commands.v2.executions:GetOutput	setup.cfg:72	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L72
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow execution report show	mistralclient.commands.v2.executions:GetReport	setup.cfg:73	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L73
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow execution published show	mistralclient.commands.v2.executions:GetPublished	setup.cfg:74	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L74
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack task execution list	mistralclient.commands.v2.tasks:List	setup.cfg:76	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L76
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack task execution show	mistralclient.commands.v2.tasks:Get	setup.cfg:77	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L77
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack task execution published show	mistralclient.commands.v2.tasks:GetPublished	setup.cfg:78	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L78
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack task execution result show	mistralclient.commands.v2.tasks:GetResult	setup.cfg:79	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L79
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack task execution rerun	mistralclient.commands.v2.tasks:Rerun	setup.cfg:80	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L80
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action definition list	mistralclient.commands.v2.actions:List	setup.cfg:82	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L82
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action definition show	mistralclient.commands.v2.actions:Get	setup.cfg:83	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L83
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action definition create	mistralclient.commands.v2.actions:Create	setup.cfg:84	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L84
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action definition delete	mistralclient.commands.v2.actions:Delete	setup.cfg:85	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L85
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action definition update	mistralclient.commands.v2.actions:Update	setup.cfg:86	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L86
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack action definition definition show	mistralclient.commands.v2.actions:GetDefinition	setup.cfg:87	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L87
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack cron trigger list	mistralclient.commands.v2.cron_triggers:List	setup.cfg:89	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L89
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack cron trigger show	mistralclient.commands.v2.cron_triggers:Get	setup.cfg:90	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L90
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack cron trigger create	mistralclient.commands.v2.cron_triggers:Create	setup.cfg:91	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L91
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack cron trigger delete	mistralclient.commands.v2.cron_triggers:Delete	setup.cfg:92	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L92
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack event trigger list	mistralclient.commands.v2.event_triggers:List	setup.cfg:94	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L94
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack event trigger show	mistralclient.commands.v2.event_triggers:Get	setup.cfg:95	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L95
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack event trigger create	mistralclient.commands.v2.event_triggers:Create	setup.cfg:96	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L96
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack event trigger delete	mistralclient.commands.v2.event_triggers:Delete	setup.cfg:97	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L97
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow engine service list	mistralclient.commands.v2.services:List	setup.cfg:99	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L99
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack resource member list	mistralclient.commands.v2.members:List	setup.cfg:101	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L101
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack resource member show	mistralclient.commands.v2.members:Get	setup.cfg:102	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L102
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack resource member create	mistralclient.commands.v2.members:Create	setup.cfg:103	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L103
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack resource member delete	mistralclient.commands.v2.members:Delete	setup.cfg:104	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L104
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack resource member update	mistralclient.commands.v2.members:Update	setup.cfg:105	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L105
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack code source list	mistralclient.commands.v2.code_sources:List	setup.cfg:107	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L107
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack code source show	mistralclient.commands.v2.code_sources:Get	setup.cfg:108	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L108
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack code source create	mistralclient.commands.v2.code_sources:Create	setup.cfg:109	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L109
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack code source delete	mistralclient.commands.v2.code_sources:Delete	setup.cfg:110	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L110
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack code source update	mistralclient.commands.v2.code_sources:Update	setup.cfg:111	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L111
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack code source content show	mistralclient.commands.v2.code_sources:GetContent	setup.cfg:112	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L112
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack dynamic action list	mistralclient.commands.v2.dynamic_actions:List	setup.cfg:114	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L114
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack dynamic action show	mistralclient.commands.v2.dynamic_actions:Get	setup.cfg:115	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L115
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack dynamic action create	mistralclient.commands.v2.dynamic_actions:Create	setup.cfg:116	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L116
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack dynamic action delete	mistralclient.commands.v2.dynamic_actions:Delete	setup.cfg:117	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L117
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack dynamic action update	mistralclient.commands.v2.dynamic_actions:Update	setup.cfg:118	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L118
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration build info	heatclient.osc.v1.build_info:BuildInfo	setup.cfg:40	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L40
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration service list	heatclient.osc.v1.service:ListService	setup.cfg:41	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L41
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration template function list	heatclient.osc.v1.template:FunctionList	setup.cfg:42	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L42
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration template validate	heatclient.osc.v1.template:Validate	setup.cfg:43	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L43
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration template version list	heatclient.osc.v1.template:VersionList	setup.cfg:44	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L44
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration resource type list	heatclient.osc.v1.resource_type:ResourceTypeList	setup.cfg:45	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L45
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration resource type show	heatclient.osc.v1.resource_type:ResourceTypeShow	setup.cfg:46	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L46
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software config create	heatclient.osc.v1.software_config:CreateConfig	setup.cfg:47	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L47
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software config delete	heatclient.osc.v1.software_config:DeleteConfig	setup.cfg:48	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L48
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software config list	heatclient.osc.v1.software_config:ListConfig	setup.cfg:49	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L49
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software config show	heatclient.osc.v1.software_config:ShowConfig	setup.cfg:50	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L50
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment create	heatclient.osc.v1.software_deployment:CreateDeployment	setup.cfg:51	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L51
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment delete	heatclient.osc.v1.software_deployment:DeleteDeployment	setup.cfg:52	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L52
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment list	heatclient.osc.v1.software_deployment:ListDeployment	setup.cfg:53	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L53
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment metadata show	heatclient.osc.v1.software_deployment:ShowMetadataDeployment	setup.cfg:54	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L54
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment output show	heatclient.osc.v1.software_deployment:ShowOutputDeployment	setup.cfg:55	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L55
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment show	heatclient.osc.v1.software_deployment:ShowDeployment	setup.cfg:56	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L56
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack abandon	heatclient.osc.v1.stack:AbandonStack	setup.cfg:57	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L57
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack export	heatclient.osc.v1.stack:ExportStack	setup.cfg:58	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L58
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack adopt	heatclient.osc.v1.stack:AdoptStack	setup.cfg:59	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L59
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack cancel	heatclient.osc.v1.stack:CancelStack	setup.cfg:60	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L60
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack check	heatclient.osc.v1.stack:CheckStack	setup.cfg:61	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L61
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack create	heatclient.osc.v1.stack:CreateStack	setup.cfg:62	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L62
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack delete	heatclient.osc.v1.stack:DeleteStack	setup.cfg:63	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L63
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack event list	heatclient.osc.v1.event:ListEvent	setup.cfg:64	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L64
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack event show	heatclient.osc.v1.event:ShowEvent	setup.cfg:65	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L65
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack environment show	heatclient.osc.v1.stack:EnvironmentShowStack	setup.cfg:66	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L66
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack failures list	heatclient.osc.v1.stack_failures:ListStackFailures	setup.cfg:67	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L67
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack file list	heatclient.osc.v1.stack:ListFileStack	setup.cfg:68	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L68
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack hook clear	heatclient.osc.v1.stack:StackHookClear	setup.cfg:69	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L69
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack hook poll	heatclient.osc.v1.stack:StackHookPoll	setup.cfg:70	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L70
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack list	heatclient.osc.v1.stack:ListStack	setup.cfg:71	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L71
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack output list	heatclient.osc.v1.stack:OutputListStack	setup.cfg:72	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L72
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack output show	heatclient.osc.v1.stack:OutputShowStack	setup.cfg:73	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L73
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resource list	heatclient.osc.v1.resource:ResourceList	setup.cfg:74	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L74
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resource mark unhealthy	heatclient.osc.v1.resource:ResourceMarkUnhealthy	setup.cfg:75	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L75
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resource metadata	heatclient.osc.v1.resource:ResourceMetadata	setup.cfg:76	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L76
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resource show	heatclient.osc.v1.resource:ResourceShow	setup.cfg:77	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L77
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resource signal	heatclient.osc.v1.resource:ResourceSignal	setup.cfg:78	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L78
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resume	heatclient.osc.v1.stack:ResumeStack	setup.cfg:79	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L79
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack show	heatclient.osc.v1.stack:ShowStack	setup.cfg:80	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L80
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack snapshot create	heatclient.osc.v1.snapshot:CreateSnapshot	setup.cfg:81	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L81
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack snapshot delete	heatclient.osc.v1.snapshot:DeleteSnapshot	setup.cfg:82	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L82
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack snapshot list	heatclient.osc.v1.snapshot:ListSnapshot	setup.cfg:83	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L83
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack snapshot restore	heatclient.osc.v1.snapshot:RestoreSnapshot	setup.cfg:84	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L84
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack snapshot show	heatclient.osc.v1.snapshot:ShowSnapshot	setup.cfg:85	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L85
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack suspend	heatclient.osc.v1.stack:SuspendStack	setup.cfg:86	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L86
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack template show	heatclient.osc.v1.stack:TemplateShowStack	setup.cfg:87	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L87
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack update	heatclient.osc.v1.stack:UpdateStack	setup.cfg:88	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L88
