project	tag	command	target	osc_equivalent	source	source_url
python-mistralclient	5.4.0	mistral action-execution-get-output	mistralclient.commands.v2.action_executions.GetOutput	openstack action execution output show	mistralclient/shell.py:721	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L721
python-mistralclient	5.4.0	mistral action-execution-update	mistralclient.commands.v2.action_executions.Update	openstack action execution update	mistralclient/shell.py:723	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L723
python-mistralclient	5.4.0	mistral action-execution-delete	mistralclient.commands.v2.action_executions.Delete	openstack action execution delete	mistralclient/shell.py:725	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L725
python-mistralclient	5.4.0	mistral execution-create	mistralclient.commands.v2.executions.Create	openstack workflow execution create	mistralclient/shell.py:727	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L727
python-mistralclient	5.4.0	mistral execution-delete	mistralclient.commands.v2.executions.Delete	openstack workflow execution delete	mistralclient/shell.py:728	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L728
python-mistralclient	5.4.0	mistral execution-update	mistralclient.commands.v2.executions.Update	openstack workflow execution update	mistralclient/shell.py:729	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L729
python-mistralclient	5.4.0	mistral execution-list	mistralclient.commands.v2.executions.List	openstack workflow execution list	mistralclient/shell.py:730	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L730
python-mistralclient	5.4.0	mistral execution-get	mistralclient.commands.v2.executions.Get	openstack workflow execution show	mistralclient/shell.py:731	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L731
python-mistralclient	5.4.0	mistral execution-get-input	mistralclient.commands.v2.executions.GetInput	openstack workflow execution input show	mistralclient/shell.py:732	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L732
python-mistralclient	5.4.0	mistral execution-get-output	mistralclient.commands.v2.executions.GetOutput	openstack workflow execution output show	mistralclient/shell.py:734	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L734
python-mistralclient	5.4.0	mistral execution-get-report	mistralclient.commands.v2.executions.GetReport	openstack workflow execution report show	mistralclient/shell.py:736	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L736
python-mistralclient	5.4.0	mistral execution-get-published	mistralclient.commands.v2.executions.GetPublished	openstack workflow execution published show	mistralclient/shell.py:738	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L738
python-mistralclient	5.4.0	mistral execution-get-sub-executions	mistralclient.commands.v2.executions.SubExecutionsLister		mistralclient/shell.py:740	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L740
python-mistralclient	5.4.0	mistral task-list	mistralclient.commands.v2.tasks.List	openstack task execution list	mistralclient/shell.py:742	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L742
python-mistralclient	5.4.0	mistral task-get	mistralclient.commands.v2.tasks.Get	openstack task execution show	mistralclient/shell.py:743	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L743
python-mistralclient	5.4.0	mistral task-get-published	mistralclient.commands.v2.tasks.GetPublished	openstack task execution published show	mistralclient/shell.py:744	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L744
python-mistralclient	5.4.0	mistral task-get-result	mistralclient.commands.v2.tasks.GetResult	openstack task execution result show	mistralclient/shell.py:745	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L745
python-mistralclient	5.4.0	mistral task-get-sub-executions	mistralclient.commands.v2.tasks.SubExecutionsLister		mistralclient/shell.py:746	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L746
python-mistralclient	5.4.0	mistral task-rerun	mistralclient.commands.v2.tasks.Rerun	openstack task execution rerun	mistralclient/shell.py:748	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L748
python-mistralclient	5.4.0	mistral action-list	mistralclient.commands.v2.actions.List	openstack action definition list	mistralclient/shell.py:749	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L749
python-mistralclient	5.4.0	mistral action-get	mistralclient.commands.v2.actions.Get	openstack action definition show	mistralclient/shell.py:750	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L750
python-mistralclient	5.4.0	mistral action-create	mistralclient.commands.v2.actions.Create	openstack action definition create	mistralclient/shell.py:751	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L751
python-mistralclient	5.4.0	mistral action-delete	mistralclient.commands.v2.actions.Delete	openstack action definition delete	mistralclient/shell.py:752	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L752
python-mistralclient	5.4.0	mistral action-update	mistralclient.commands.v2.actions.Update	openstack action definition update	mistralclient/shell.py:753	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L753
python-mistralclient	5.4.0	mistral action-get-definition	mistralclient.commands.v2.actions.GetDefinition	openstack action definition definition show	mistralclient/shell.py:754	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L754
python-mistralclient	5.4.0	mistral action-validate	mistralclient.commands.v2.actions.Validate		mistralclient/shell.py:756	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L756
python-mistralclient	5.4.0	mistral cron-trigger-list	mistralclient.commands.v2.cron_triggers.List	openstack cron trigger list	mistralclient/shell.py:757	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L757
python-mistralclient	5.4.0	mistral cron-trigger-get	mistralclient.commands.v2.cron_triggers.Get	openstack cron trigger show	mistralclient/shell.py:758	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L758
python-mistralclient	5.4.0	mistral cron-trigger-create	mistralclient.commands.v2.cron_triggers.Create	openstack cron trigger create	mistralclient/shell.py:759	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L759
python-mistralclient	5.4.0	mistral cron-trigger-delete	mistralclient.commands.v2.cron_triggers.Delete	openstack cron trigger delete	mistralclient/shell.py:761	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L761
python-mistralclient	5.4.0	mistral event-trigger-list	mistralclient.commands.v2.event_triggers.List	openstack event trigger list	mistralclient/shell.py:763	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L763
python-mistralclient	5.4.0	mistral event-trigger-get	mistralclient.commands.v2.event_triggers.Get	openstack event trigger show	mistralclient/shell.py:765	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L765
python-mistralclient	5.4.0	mistral event-trigger-create	mistralclient.commands.v2.event_triggers.Create	openstack event trigger create	mistralclient/shell.py:766	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L766
python-mistralclient	5.4.0	mistral event-trigger-delete	mistralclient.commands.v2.event_triggers.Delete	openstack event trigger delete	mistralclient/shell.py:768	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L768
python-mistralclient	5.4.0	mistral service-list	mistralclient.commands.v2.services.List	openstack workflow engine service list	mistralclient/shell.py:770	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L770
python-mistralclient	5.4.0	mistral member-create	mistralclient.commands.v2.members.Create	openstack resource member create	mistralclient/shell.py:771	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L771
python-mistralclient	5.4.0	mistral member-delete	mistralclient.commands.v2.members.Delete	openstack resource member delete	mistralclient/shell.py:772	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L772
python-mistralclient	5.4.0	mistral member-update	mistralclient.commands.v2.members.Update	openstack resource member update	mistralclient/shell.py:773	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L773
python-mistralclient	5.4.0	mistral member-list	mistralclient.commands.v2.members.List	openstack resource member list	mistralclient/shell.py:774	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L774
python-mistralclient	5.4.0	mistral member-get	mistralclient.commands.v2.members.Get	openstack resource member show	mistralclient/shell.py:775	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L775
python-mistralclient	5.4.0	mistral code-source-create	mistralclient.commands.v2.code_sources.Create	openstack code source create	mistralclient/shell.py:776	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L776
python-mistralclient	5.4.0	mistral code-source-get	mistralclient.commands.v2.code_sources.Get	openstack code source show	mistralclient/shell.py:778	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L778
python-mistralclient	5.4.0	mistral code-source-update	mistralclient.commands.v2.code_sources.Update	openstack code source update	mistralclient/shell.py:779	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L779
python-mistralclient	5.4.0	mistral code-source-list	mistralclient.commands.v2.code_sources.List	openstack code source list	mistralclient/shell.py:781	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L781
python-mistralclient	5.4.0	mistral code-source-delete	mistralclient.commands.v2.code_sources.Delete	openstack code source delete	mistralclient/shell.py:782	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L782
python-mistralclient	5.4.0	mistral code-source-get-content	mistralclient.commands.v2.code_sources.GetContent	openstack code source content show	mistralclient/shell.py:784	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L784
python-mistralclient	5.4.0	mistral dynamic-action-create	mistralclient.commands.v2.dynamic_actions.Create	openstack dynamic action create	mistralclient/shell.py:786	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L786
python-mistralclient	5.4.0	mistral dynamic-action-get	mistralclient.commands.v2.dynamic_actions.Get	openstack dynamic action show	mistralclient/shell.py:788	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L788
python-mistralclient	5.4.0	mistral dynamic-action-update	mistralclient.commands.v2.dynamic_actions.Update	openstack dynamic action update	mistralclient/shell.py:790	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L790
python-mistralclient	5.4.0	mistral dynamic-action-list	mistralclient.commands.v2.dynamic_actions.List	openstack dynamic action list	mistralclient/shell.py:792	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L792
python-mistralclient	5.4.0	mistral dynamic-action-delete	mistralclient.commands.v2.dynamic_actions.Delete	openstack dynamic action delete	mistralclient/shell.py:794	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L794
