package	version	interface	namespace	command	target	source_url
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node add trait	ironicclient.osc.v1.baremetal_node:AddTraitBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node adopt	ironicclient.osc.v1.baremetal_node:AdoptBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node bios setting list	ironicclient.osc.v1.baremetal_node:ListBIOSSettingBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node bios setting show	ironicclient.osc.v1.baremetal_node:BIOSSettingShowBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node boot device set	ironicclient.osc.v1.baremetal_node:BootdeviceSetBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node boot device show	ironicclient.osc.v1.baremetal_node:BootdeviceShowBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node boot mode set	ironicclient.osc.v1.baremetal_node:BootmodeSetBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node children list	ironicclient.osc.v1.baremetal_node:NodeChildrenList	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node clean	ironicclient.osc.v1.baremetal_node:CleanBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node console disable	ironicclient.osc.v1.baremetal_node:ConsoleDisableBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node console enable	ironicclient.osc.v1.baremetal_node:ConsoleEnableBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node console show	ironicclient.osc.v1.baremetal_node:ConsoleShowBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node create	ironicclient.osc.v1.baremetal_node:CreateBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node delete	ironicclient.osc.v1.baremetal_node:DeleteBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node deploy	ironicclient.osc.v1.baremetal_node:DeployBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node firmware list	ironicclient.osc.v1.baremetal_node:ListFirmwareComponentBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node history get	ironicclient.osc.v1.baremetal_node:NodeHistoryEventGet	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node history list	ironicclient.osc.v1.baremetal_node:NodeHistoryList	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node inject nmi	ironicclient.osc.v1.baremetal_node:InjectNmiBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node inspect	ironicclient.osc.v1.baremetal_node:InspectBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node inventory save	ironicclient.osc.v1.baremetal_node:NodeInventorySave	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node list	ironicclient.osc.v1.baremetal_node:ListBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node maintenance set	ironicclient.osc.v1.baremetal_node:MaintenanceSetBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node maintenance unset	ironicclient.osc.v1.baremetal_node:MaintenanceUnsetBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node manage	ironicclient.osc.v1.baremetal_node:ManageBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node passthru call	ironicclient.osc.v1.baremetal_node:PassthruCallBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node passthru list	ironicclient.osc.v1.baremetal_node:PassthruListBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node power off	ironicclient.osc.v1.baremetal_node:PowerOffBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node power on	ironicclient.osc.v1.baremetal_node:PowerOnBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node provide	ironicclient.osc.v1.baremetal_node:ProvideBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node reboot	ironicclient.osc.v1.baremetal_node:RebootBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node rebuild	ironicclient.osc.v1.baremetal_node:RebuildBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node remove trait	ironicclient.osc.v1.baremetal_node:RemoveTraitBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node rescue	ironicclient.osc.v1.baremetal_node:RescueBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node secure boot off	ironicclient.osc.v1.baremetal_node:SecurebootOffBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node secure boot on	ironicclient.osc.v1.baremetal_node:SecurebootOnBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node service	ironicclient.osc.v1.baremetal_node:ServiceBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node set	ironicclient.osc.v1.baremetal_node:SetBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node show	ironicclient.osc.v1.baremetal_node:ShowBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node trait list	ironicclient.osc.v1.baremetal_node:ListTraitsBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node undeploy	ironicclient.osc.v1.baremetal_node:UndeployBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node unhold	ironicclient.osc.v1.baremetal_node:UnholdBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node unrescue	ironicclient.osc.v1.baremetal_node:UnrescueBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node unset	ironicclient.osc.v1.baremetal_node:UnsetBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node validate	ironicclient.osc.v1.baremetal_node:ValidateBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node vif attach	ironicclient.osc.v1.baremetal_node:VifAttachBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node vif detach	ironicclient.osc.v1.baremetal_node:VifDetachBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node vif list	ironicclient.osc.v1.baremetal_node:VifListBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal port create	ironicclient.osc.v1.baremetal_port:CreateBaremetalPort	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal port delete	ironicclient.osc.v1.baremetal_port:DeleteBaremetalPort	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal port group create	ironicclient.osc.v1.baremetal_portgroup:CreateBaremetalPortGroup	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal port group delete	ironicclient.osc.v1.baremetal_portgroup:DeleteBaremetalPortGroup	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal port group list	ironicclient.osc.v1.baremetal_portgroup:ListBaremetalPortGroup	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal port group set	ironicclient.osc.v1.baremetal_portgroup:SetBaremetalPortGroup	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
